user id,full name,email,password,date of birth,gender,phone number,address,city,state,zip code,country,registration date,last login,status
u12345,emma johnson,emma.johnson@gmail.com,ab3#xl9@q,1995-05-15,female,+1 (212) 555-0198,"456 oak ave, chicago, il, 60614",chicago,illinois,60614,usa,2020-01-15t14:30:00,2023-10-05t10:15:00,active
u67890,david smith,david.smith@example.com,mk5!zt2&v,1988-03-22,male,+44 (20) 7946 0012,"789 pine st, london, uk, sw1a 1aa",london,united kingdom,sw1a 1aa,united kingdom,2021-05-20t16:45:00,2023-08-15t12:30:00,inactive
u54321,sarah wilson,sarah.wilson@yahoo.com,9#xl3@qb7!,1990-11-07,other,+61 (2) 8912 3456,"101 main st, sydney, nsw, 2000",sydney,new south wales,2000,australia,2019-09-10t09:15:00,2023-05-22t17:45:00,suspended
u98765,michael brown,michael.brown@outlook.com,zt2&vk8!l@,1975-02-12,male,+1 (312) 555-0198,"555 elm st, toronto, ontario, m5b 3l9",toronto,ontario,m5b 3l9,canada,2018-03-15t10:00:00,2023-04-01t15:30:00,active
u32109,james lee,james.lee@domain.com,3#xl9@qb7!,1985-07-18,other,+1 (201) 555-0198,"666 maple st, seattle, wa, 98101",seattle,washington,98101,usa,2022-02-10t14:20:00,2023-07-20t18:45:00,inactive
u78901,jessica taylor,jessica.taylor@domain.com,k8!l@qb7!,1992-04-05,female,+44 (20) 7946 0012,"777 pine st, manchester, uk, m1 1aa",manchester,england,m1 1aa,united kingdom,2021-06-15t16:30:00,2023-09-10t14:15:00,active
u23456,emily davis,emily.davis@domain.com,l@qb7!9#x,1980-09-15,male,+1 (212) 555-0198,"888 oak st, denver, co, 80202",denver,colorado,80202,usa,2020-05-15t12:00:00,2023-10-01t10:15:00,suspended
u13579,william anderson,william.anderson@domain.com,b7!9#xl3@,1978-01-20,other,+61 (2) 8912 3456,"999 maple st, melbourne, victoria, 3000",melbourne,victoria,3000,australia,2019-08-15t14:45:00,2023-03-15t18:30:00,active
u45678,olivia morgan,olivia.morgan@domain.com,7!9#xl3@q,1982-12-10,female,+1 (312) 555-0198,"111 pine st, ottawa, on, k1a 0a2",ottawa,ontario,k1a 0a2,canada,2022-04-15t16:15:00,2023-06-15t12:45:00,inactive
u87654,sophia kim,sophia.kim@domain.com,9#xl3@qb7!,1998-06-12,other,+44 (20) 7946 0012,"222 oak st, london, uk, sw1a 1aa",london,united kingdom,sw1a 1aa,united kingdom,2021-09-15t10:30:00,2023-07-01t14:15:00,active
